Model,Test_Acc,Test_Precision,Test_Recall,Test_F1,Param_Count,GFLOPs,Avg_Inference_Time_ms
mnasnet1_3,0.8303838383838383,0.8211506316574918,0.77570133963751,0.7977792011670827,5038403,0.55453152,0.032074244335444285
shufflenet_v2_x1_5,0.8485050505050505,0.8264602610501194,0.7995183215130024,0.8127660816668077,2508347,0.305837216,0.04093255418719668
regnet_y_400mf,0.8506262626262626,0.8274814417184929,0.8024556737588652,0.814776437117576,3915931,0.417756992,0.08909158514003561
efficientnet_b0,0.8688484848484849,0.849061828320329,0.8239391252955082,0.8363118486406993,4044695,0.413840704,0.05335181650489267
mobilenet_v3_large,0.8534949494949495,0.8333503999369106,0.8078083136327817,0.820380595334362,2999819,0.232311416,0.04029739745939621
