epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,477.99,2.00481,3.25014,1.75423,0.37661,0.26593,0.23865,0.1209,1.99316,2.50135,1.71201,0.0700045,0.00333284,0.00333284
2,940.532,2.00149,2.64584,1.73591,0.33825,0.27021,0.20226,0.09551,2.00614,2.62905,1.76235,0.0399605,0.00662217,0.00662217
3,1398.86,2.12595,2.85239,1.86698,0.40294,0.19738,0.15868,0.06898,2.10392,2.74445,1.87793,0.00987247,0.00986751,0.00986751
4,1854.44,2.14883,2.92914,1.91039,0.34997,0.23466,0.20584,0.09461,1.99855,2.50782,1.80786,0.009802,0.009802,0.009802
5,2306.55,2.0584,2.70415,1.85409,0.36175,0.2783,0.23309,0.10958,1.91625,2.42114,1.73116,0.009736,0.009736,0.009736
6,2799.11,2.00033,2.58812,1.80078,0.39766,0.28243,0.25953,0.12832,1.88144,2.3086,1.68897,0.00967,0.00967,0.00967
7,3337.88,1.94324,2.50332,1.76053,0.35616,0.30565,0.29894,0.14887,1.84065,2.23982,1.6673,0.009604,0.009604,0.009604
8,3870.85,1.91596,2.44116,1.7486,0.44359,0.31247,0.30957,0.15627,1.82186,2.20456,1.67355,0.009538,0.009538,0.009538
9,4394.8,1.89963,2.37224,1.71594,0.45882,0.31711,0.31017,0.15941,1.79974,2.14819,1.62971,0.009472,0.009472,0.009472
10,4917.05,1.87605,2.32175,1.70152,0.47101,0.33882,0.33096,0.17337,1.77346,2.11529,1.5964,0.009406,0.009406,0.009406
11,5437.89,1.8505,2.29165,1.68727,0.4762,0.34119,0.34719,0.18367,1.74706,2.08574,1.58555,0.00934,0.00934,0.00934
12,5959.63,1.84071,2.25979,1.67611,0.50842,0.36006,0.36526,0.19598,1.73593,2.0527,1.57243,0.009274,0.009274,0.009274
13,6487.36,1.82239,2.23211,1.66362,0.40149,0.36312,0.36423,0.19809,1.72728,2.01587,1.56281,0.009208,0.009208,0.009208
14,7013.87,1.81539,2.21406,1.65199,0.51978,0.38345,0.37994,0.20705,1.70579,1.98859,1.55889,0.009142,0.009142,0.009142
15,7537.4,1.81096,2.1795,1.64892,0.48825,0.38905,0.38194,0.20773,1.68734,1.98088,1.53639,0.009076,0.009076,0.009076
16,8058.04,1.79919,2.15676,1.63519,0.42375,0.36895,0.38452,0.20982,1.6903,1.96112,1.53933,0.00901,0.00901,0.00901
17,8501.97,1.78104,2.12862,1.63034,0.51836,0.39074,0.39301,0.21599,1.67481,1.94492,1.52666,0.008944,0.008944,0.008944
18,8942.85,1.77965,2.11037,1.623,0.50975,0.3908,0.4117,0.22231,1.66571,1.91714,1.51706,0.008878,0.008878,0.008878
19,9379.5,1.77496,2.10159,1.61507,0.5195,0.39803,0.40985,0.22837,1.65981,1.89875,1.50713,0.008812,0.008812,0.008812
20,9816.63,1.76464,2.09315,1.60684,0.52209,0.3997,0.41407,0.23336,1.65739,1.89296,1.49912,0.008746,0.008746,0.008746
21,10252.9,1.75883,2.07506,1.60491,0.5332,0.40737,0.41948,0.23434,1.6651,1.88553,1.51147,0.00868,0.00868,0.00868
22,10690.1,1.75111,2.05956,1.60116,0.55191,0.40753,0.42577,0.2389,1.65175,1.87738,1.50446,0.008614,0.008614,0.008614
23,11127,1.74742,2.05832,1.59536,0.54113,0.4118,0.43641,0.24636,1.64366,1.85747,1.49232,0.008548,0.008548,0.008548
24,11563.3,1.74494,2.03938,1.59402,0.54687,0.41047,0.45601,0.24959,1.63449,1.84602,1.48774,0.008482,0.008482,0.008482
25,12000.1,1.73452,2.01857,1.5844,0.62666,0.41076,0.44609,0.25257,1.62566,1.83873,1.4835,0.008416,0.008416,0.008416
26,12437,1.7282,2.00969,1.58257,0.62781,0.41155,0.45674,0.25677,1.62343,1.83071,1.48131,0.00835,0.00835,0.00835
27,12872.6,1.72425,2.00309,1.57443,0.63129,0.41564,0.46086,0.25925,1.62224,1.82569,1.48195,0.008284,0.008284,0.008284
28,13328.6,1.72308,1.99127,1.57323,0.62845,0.41849,0.45715,0.25821,1.62246,1.8175,1.48129,0.008218,0.008218,0.008218
29,13846.1,1.71808,1.99543,1.5666,0.56301,0.42414,0.45799,0.26015,1.61989,1.81373,1.47814,0.008152,0.008152,0.008152
30,14373.5,1.71209,1.96593,1.56575,0.56531,0.42502,0.46334,0.26159,1.61835,1.81031,1.47598,0.008086,0.008086,0.008086
31,14886.9,1.70211,1.94756,1.55592,0.5642,0.4266,0.46474,0.26283,1.61494,1.80423,1.47347,0.00802,0.00802,0.00802
32,15398.9,1.70818,1.94678,1.56035,0.56254,0.42742,0.47124,0.26542,1.61376,1.79675,1.474,0.007954,0.007954,0.007954
33,15912.2,1.70604,1.94488,1.55835,0.56447,0.42756,0.46813,0.26511,1.61242,1.79357,1.47302,0.007888,0.007888,0.007888
34,16424.5,1.70529,1.9419,1.56196,0.56391,0.42902,0.47031,0.26484,1.61153,1.78844,1.47207,0.007822,0.007822,0.007822
35,16937.4,1.69186,1.93251,1.54927,0.56208,0.43191,0.46934,0.26573,1.60905,1.78644,1.47016,0.007756,0.007756,0.007756
36,17449.4,1.69061,1.92519,1.54905,0.56325,0.43168,0.47426,0.26814,1.6079,1.7821,1.46868,0.00769,0.00769,0.00769
37,17961.4,1.68295,1.9078,1.54229,0.55589,0.43593,0.46742,0.26762,1.60679,1.77812,1.46736,0.007624,0.007624,0.007624
38,18472.2,1.68492,1.90054,1.54568,0.55693,0.43729,0.47231,0.26919,1.60513,1.77703,1.46661,0.007558,0.007558,0.007558
39,18980.2,1.68014,1.89623,1.53518,0.56004,0.43912,0.47709,0.26959,1.60329,1.77467,1.46487,0.007492,0.007492,0.007492
40,19491.4,1.68292,1.9048,1.54144,0.55692,0.44014,0.4709,0.26842,1.60256,1.7704,1.46399,0.007426,0.007426,0.007426
41,20001.2,1.67972,1.8957,1.53921,0.5607,0.43717,0.47033,0.26931,1.60243,1.76619,1.46342,0.00736,0.00736,0.00736
42,20508.4,1.67328,1.88497,1.53045,0.56267,0.43653,0.47242,0.26965,1.60165,1.76248,1.46251,0.007294,0.007294,0.007294
43,20988.1,1.67768,1.88268,1.53824,0.56027,0.4408,0.47316,0.27052,1.60115,1.76015,1.46171,0.007228,0.007228,0.007228
44,21476.3,1.67042,1.87063,1.52921,0.56609,0.43934,0.47561,0.27128,1.60036,1.75812,1.46069,0.007162,0.007162,0.007162
45,21966.8,1.66622,1.86351,1.5242,0.56414,0.44146,0.47566,0.27144,1.59963,1.75629,1.45979,0.007096,0.007096,0.007096
46,22451.8,1.66555,1.86202,1.53249,0.56352,0.44235,0.47481,0.27189,1.59888,1.75476,1.45893,0.00703,0.00703,0.00703
47,22936.5,1.65708,1.84101,1.52256,0.53344,0.45944,0.48054,0.2751,1.59795,1.75268,1.45763,0.006964,0.006964,0.006964
48,23425.5,1.65795,1.84106,1.51817,0.53493,0.45917,0.48059,0.27584,1.5968,1.75108,1.45675,0.006898,0.006898,0.006898
49,23911.2,1.65722,1.83883,1.51873,0.53579,0.4598,0.48199,0.27625,1.5957,1.74881,1.45557,0.006832,0.006832,0.006832
50,24382.1,1.65398,1.82988,1.51751,0.53513,0.4669,0.48269,0.277,1.59509,1.74648,1.4548,0.006766,0.006766,0.006766
51,24856.2,1.65471,1.82247,1.51391,0.52677,0.46854,0.4836,0.27747,1.59405,1.74429,1.45332,0.0067,0.0067,0.0067
52,25328,1.6434,1.81686,1.50868,0.52038,0.46941,0.48549,0.27882,1.59359,1.74108,1.45236,0.006634,0.006634,0.006634
53,25800.3,1.64608,1.81773,1.50495,0.49258,0.47614,0.48601,0.27924,1.59311,1.739,1.45173,0.006568,0.006568,0.006568
54,26272,1.63867,1.81215,1.50728,0.51721,0.46442,0.48561,0.28037,1.59171,1.73719,1.45065,0.006502,0.006502,0.006502
55,26743.2,1.64208,1.80613,1.50973,0.53503,0.45504,0.48563,0.28104,1.59078,1.73433,1.44993,0.006436,0.006436,0.006436
56,27212.4,1.63599,1.78672,1.4979,0.5288,0.45559,0.48737,0.28145,1.59022,1.73178,1.44887,0.00637,0.00637,0.00637
57,27687.1,1.64372,1.79426,1.50176,0.51019,0.46015,0.48751,0.28197,1.58939,1.73016,1.44813,0.006304,0.006304,0.006304
58,28157,1.63875,1.78938,1.49433,0.50854,0.46185,0.48893,0.28285,1.58866,1.72728,1.44731,0.006238,0.006238,0.006238
59,28629.1,1.62875,1.79009,1.49715,0.50461,0.46231,0.48764,0.28331,1.58799,1.72541,1.44633,0.006172,0.006172,0.006172
60,29101.3,1.63134,1.78606,1.49261,0.50478,0.46234,0.48862,0.28412,1.58687,1.72296,1.44508,0.006106,0.006106,0.006106
61,29572.3,1.63433,1.77473,1.49343,0.49292,0.4655,0.49027,0.28525,1.58599,1.72005,1.44389,0.00604,0.00604,0.00604
62,30045.4,1.63055,1.77139,1.49612,0.5156,0.46684,0.49189,0.28622,1.58578,1.7171,1.44331,0.005974,0.005974,0.005974
63,30518.6,1.62267,1.75465,1.48332,0.50897,0.46793,0.49258,0.28794,1.58515,1.71451,1.44225,0.005908,0.005908,0.005908
