Epoch,Train_Loss,Train_Acc,Val_Acc,Val_Precision,Val_Recall,Val_F1
1,2.175888932094692,0.8160105783358934,0.6913897280966768,0.6918196443478887,0.6593224932249322,0.675180264295254
2,0.9663054927428678,0.8698022088950207,0.7544813695871098,0.7433478965469172,0.7238464317976514,0.7334675606426021
3,0.9025749472697874,0.8912550407167907,0.7504531722054381,0.7410339693167836,0.7289864498644987,0.7349608420025929
4,0.8565106395435997,0.9090507132347037,0.8036757301107754,0.793262662102678,0.7798175248419151,0.7864826355888839
5,0.8158633554494362,0.9242570710815369,0.8165659617321249,0.8050132399001763,0.7927190605239386,0.7988188497830385
6,0.7860309137045587,0.9365278990052568,0.8307150050352468,0.8156747249493557,0.8067497741644083,0.811187701497309
