epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,24404,3.48803,4.41944,3.0711,0.50875,0.3707,0.37769,0.21771,3.22687,3.91485,2.89135,0.007228,0.007228,0.007228
44,24970.4,3.47175,4.3898,3.06303,0.50981,0.37063,0.37839,0.21866,3.22495,3.90928,2.8901,0.007162,0.007162,0.007162
45,25538.7,3.46717,4.35476,3.0476,0.50712,0.37298,0.37919,0.21975,3.22387,3.90424,2.88771,0.007096,0.007096,0.007096
46,26102.5,3.47215,4.35544,3.072,0.50774,0.37265,0.3793,0.21997,3.22345,3.89958,2.88544,0.00703,0.00703,0.00703
47,26669.8,3.45284,4.34355,3.05166,0.50702,0.37189,0.38017,0.22021,3.22199,3.89655,2.8843,0.006964,0.006964,0.006964
48,27236.1,3.4571,4.34034,3.04714,0.50694,0.37435,0.38114,0.22087,3.21977,3.89187,2.88245,0.006898,0.006898,0.006898
49,27797.3,3.45218,4.3229,3.04568,0.51032,0.37313,0.38202,0.22167,3.21901,3.88588,2.88138,0.006832,0.006832,0.006832
50,28354.7,3.44778,4.30561,3.04337,0.5108,0.37271,0.38233,0.22197,3.21748,3.88152,2.88011,0.006766,0.006766,0.006766
51,28912.6,3.44226,4.31468,3.03688,0.50941,0.37308,0.38343,0.22287,3.2153,3.87991,2.87851,0.0067,0.0067,0.0067
52,29487.4,3.43643,4.29677,3.03505,0.5089,0.37444,0.38396,0.22332,3.21479,3.8742,2.87868,0.006634,0.006634,0.006634
53,30058.2,3.44647,4.27503,3.03567,0.50968,0.37473,0.38514,0.22372,3.2121,3.87202,2.87566,0.006568,0.006568,0.006568
54,30624.3,3.42144,4.285,3.03038,0.51383,0.3751,0.3863,0.2248,3.2113,3.86677,2.8722,0.006502,0.006502,0.006502
55,31190.3,3.43232,4.26642,3.01874,0.51682,0.3739,0.38747,0.22563,3.21066,3.86181,2.87088,0.006436,0.006436,0.006436
56,31756.1,3.41859,4.2202,3.00202,0.51566,0.37419,0.38834,0.22581,3.2076,3.8577,2.86932,0.00637,0.00637,0.00637
57,32323.4,3.42605,4.25156,3.02367,0.51961,0.3737,0.38784,0.22623,3.20639,3.8532,2.8673,0.006304,0.006304,0.006304
58,32887.2,3.43322,4.23437,2.99961,0.52149,0.37522,0.38865,0.22662,3.20537,3.84744,2.86636,0.006238,0.006238,0.006238
59,33449.4,3.42082,4.23463,3.01358,0.52197,0.37586,0.38956,0.22706,3.20418,3.84212,2.86504,0.006172,0.006172,0.006172
60,34017.4,3.41768,4.20715,3.00193,0.52448,0.37581,0.38985,0.22766,3.2034,3.83853,2.86383,0.006106,0.006106,0.006106
61,34585.5,3.42329,4.18981,3.00116,0.5229,0.37596,0.39078,0.22807,3.20399,3.83286,2.86236,0.00604,0.00604,0.00604
62,35148.9,3.41732,4.19042,3.00951,0.52174,0.37795,0.392,0.22902,3.20289,3.82849,2.86236,0.005974,0.005974,0.005974
63,35711.7,3.40487,4.17328,2.99202,0.52194,0.3779,0.39462,0.23002,3.20213,3.82393,2.86022,0.005908,0.005908,0.005908
64,36277,3.39449,4.17398,2.98715,0.52533,0.37691,0.39591,0.23128,3.20207,3.81749,2.85914,0.005842,0.005842,0.005842
65,36842.9,3.38853,4.16123,2.98813,0.52585,0.37774,0.398,0.23172,3.20097,3.81241,2.85882,0.005776,0.005776,0.005776
66,37405.1,3.39964,4.16104,2.9916,0.52835,0.37936,0.39914,0.23237,3.20139,3.80577,2.85768,0.00571,0.00571,0.00571
67,37966.3,3.3864,4.13489,2.98288,0.52728,0.38195,0.40142,0.23347,3.20118,3.79943,2.85806,0.005644,0.005644,0.005644
68,38525.4,3.37935,4.11583,2.97619,0.52907,0.38273,0.40352,0.23502,3.20006,3.7933,2.85632,0.005578,0.005578,0.005578
69,39088.3,3.38835,4.11888,2.98419,0.5308,0.38285,0.40566,0.23629,3.19767,3.78816,2.85495,0.005512,0.005512,0.005512
70,39651.1,3.38409,4.07962,2.9788,0.53294,0.38124,0.40712,0.23715,3.19602,3.78374,2.85329,0.005446,0.005446,0.005446
71,40213.3,3.38112,4.09461,2.96299,0.5296,0.38188,0.40705,0.23785,3.19537,3.77635,2.85108,0.00538,0.00538,0.00538
72,40773.7,3.37147,4.09935,2.96867,0.52829,0.38331,0.40878,0.23933,3.19513,3.76976,2.84867,0.005314,0.005314,0.005314
73,41334.5,3.36973,4.08207,2.9686,0.53104,0.38399,0.41018,0.23992,3.19357,3.76443,2.84738,0.005248,0.005248,0.005248
74,41894.1,3.37177,4.0639,2.96524,0.5288,0.38539,0.41106,0.24025,3.19397,3.75615,2.8467,0.005182,0.005182,0.005182
75,42453.9,3.35646,4.04204,2.95933,0.52871,0.38613,0.41192,0.24048,3.19338,3.75098,2.84535,0.005116,0.005116,0.005116
76,43084.5,3.36788,4.03571,2.95637,0.53266,0.38435,0.41297,0.24131,3.19351,3.74422,2.84515,0.00505,0.00505,0.00505
77,43724.7,3.35815,4.01698,2.9504,0.53726,0.38373,0.41341,0.24229,3.19289,3.73721,2.84307,0.004984,0.004984,0.004984
78,44364.4,3.34797,4.02963,2.94944,0.53795,0.38395,0.41512,0.2431,3.19303,3.73141,2.84075,0.004918,0.004918,0.004918
79,45001,3.33829,3.99592,2.94267,0.53819,0.38473,0.4162,0.24409,3.19354,3.72438,2.84058,0.004852,0.004852,0.004852
80,45638.3,3.34725,3.99861,2.93607,0.54169,0.38292,0.41719,0.24517,3.19453,3.71809,2.84062,0.004786,0.004786,0.004786
81,46275.4,3.33333,3.98351,2.93317,0.54026,0.38359,0.41836,0.24595,3.19523,3.71134,2.84065,0.00472,0.00472,0.00472
82,46911.7,3.34232,4.00178,2.93427,0.54299,0.38462,0.4209,0.24683,3.19471,3.70416,2.83915,0.004654,0.004654,0.004654
83,47548.9,3.3268,3.95812,2.9354,0.5385,0.38751,0.42242,0.24758,3.19379,3.69786,2.83736,0.004588,0.004588,0.004588
84,48186.2,3.33637,3.96417,2.93159,0.53955,0.3888,0.42744,0.24876,3.19276,3.69284,2.83554,0.004522,0.004522,0.004522
85,48824.3,3.33613,3.9757,2.93421,0.5403,0.38978,0.42476,0.24906,3.19152,3.68768,2.83373,0.004456,0.004456,0.004456
86,49464,3.32718,3.95556,2.92517,0.53966,0.39101,0.42919,0.24986,3.19052,3.68294,2.83335,0.00439,0.00439,0.00439
87,50103.1,3.32357,3.95094,2.9271,0.53983,0.39018,0.42938,0.25013,3.19144,3.67694,2.8324,0.004324,0.004324,0.004324
88,50742.8,3.31372,3.92739,2.91763,0.5222,0.40013,0.42762,0.25023,3.19008,3.67346,2.83148,0.004258,0.004258,0.004258
89,51382.4,3.31832,3.90683,2.91523,0.52539,0.3996,0.4313,0.25133,3.19019,3.66843,2.82967,0.004192,0.004192,0.004192
90,52021.9,3.31006,3.94058,2.91357,0.52253,0.4024,0.43296,0.25217,3.19014,3.66044,2.82859,0.004126,0.004126,0.004126
91,52661.5,3.30382,3.89774,2.89926,0.52581,0.40205,0.43442,0.25308,3.18925,3.65389,2.8261,0.00406,0.00406,0.00406
92,53302,3.31472,3.90441,2.9004,0.52817,0.40645,0.43574,0.25406,3.18744,3.64817,2.82398,0.003994,0.003994,0.003994
93,53941.3,3.30452,3.88619,2.89904,0.5286,0.40998,0.43357,0.25394,3.18536,3.64491,2.82182,0.003928,0.003928,0.003928
94,54580.4,3.29276,3.87596,2.89737,0.52529,0.41883,0.43419,0.25445,3.18489,3.639,2.82123,0.003862,0.003862,0.003862
95,55221.9,3.29176,3.86017,2.90016,0.53154,0.41719,0.43577,0.25558,3.18386,3.63566,2.82019,0.003796,0.003796,0.003796
96,55864.1,3.30116,3.85654,2.90237,0.53145,0.41961,0.43911,0.25702,3.18562,3.62781,2.82137,0.00373,0.00373,0.00373
97,56505.4,3.28286,3.8403,2.8888,0.5317,0.42025,0.44015,0.25786,3.18455,3.62309,2.81993,0.003664,0.003664,0.003664
98,57146.1,3.28592,3.8367,2.88907,0.53541,0.41865,0.44051,0.25838,3.18578,3.61738,2.81921,0.003598,0.003598,0.003598
99,57786.9,3.28845,3.8128,2.88552,0.54216,0.41711,0.44161,0.25893,3.18686,3.61221,2.8174,0.003532,0.003532,0.003532
