epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,712.747,1.99423,3.1548,1.80487,0.34087,0.26069,0.21129,0.09886,2.06158,2.60897,1.80558,0.0700045,0.00333284,0.00333284
2,1342.18,2.04922,2.72937,1.84316,0.34491,0.25532,0.18908,0.08668,2.03261,2.59728,1.81635,0.0399605,0.00662217,0.00662217
3,1909.12,2.1535,2.94807,1.96191,0.32157,0.21133,0.15038,0.06039,2.14298,2.78099,1.9464,0.00987247,0.00986751,0.00986751
4,2471.4,2.15507,2.98166,1.99577,0.36208,0.23775,0.2053,0.09324,2.0281,2.54747,1.8827,0.009802,0.009802,0.009802
5,3073.15,2.06298,2.73914,1.91448,0.35012,0.2675,0.22763,0.10983,1.93163,2.46398,1.79751,0.009736,0.009736,0.009736
6,3756.02,1.99618,2.62397,1.85432,0.38919,0.27276,0.24415,0.11767,1.87965,2.36123,1.75806,0.00967,0.00967,0.00967
7,4403.98,1.94577,2.52416,1.81113,0.44491,0.3025,0.29353,0.14433,1.82692,2.24505,1.72366,0.009604,0.009604,0.009604
8,4972.35,1.91473,2.44843,1.79785,0.44175,0.30885,0.30864,0.15714,1.81407,2.20346,1.6999,0.009538,0.009538,0.009538
9,5539.83,1.89768,2.38212,1.77042,0.46625,0.33112,0.33313,0.17525,1.79093,2.14984,1.66121,0.009472,0.009472,0.009472
10,6103.65,1.87295,2.33274,1.75886,0.47407,0.35139,0.34436,0.18132,1.76697,2.11962,1.66413,0.009406,0.009406,0.009406
11,6669.71,1.85118,2.30327,1.7481,0.46271,0.36276,0.36063,0.18937,1.75921,2.10016,1.65399,0.00934,0.00934,0.00934
12,7332.92,1.84321,2.26803,1.73171,0.50044,0.35526,0.37509,0.20179,1.74525,2.03797,1.63698,0.009274,0.009274,0.009274
13,7921.96,1.82333,2.23286,1.71975,0.46808,0.37651,0.37015,0.20282,1.71186,2.03462,1.60872,0.009208,0.009208,0.009208
14,8505.28,1.81263,2.21901,1.70782,0.57947,0.38071,0.38564,0.21293,1.70333,1.99528,1.60788,0.009142,0.009142,0.009142
15,9088.49,1.80482,2.18963,1.70355,0.50066,0.3888,0.38633,0.21112,1.68748,1.97629,1.60074,0.009076,0.009076,0.009076
16,9706.77,1.79434,2.16968,1.69001,0.53909,0.38928,0.40064,0.22179,1.68445,1.94802,1.59432,0.00901,0.00901,0.00901
17,10346.2,1.77964,2.13618,1.68658,0.53353,0.40802,0.41787,0.23328,1.66989,1.92854,1.57913,0.008944,0.008944,0.008944
18,10966.4,1.7694,2.11874,1.67548,0.50241,0.40913,0.4116,0.23216,1.66098,1.91451,1.57829,0.008878,0.008878,0.008878
19,11591,1.76643,2.10676,1.66601,0.58243,0.41281,0.42004,0.23525,1.65871,1.88744,1.56297,0.008812,0.008812,0.008812
20,12220.9,1.75568,2.10953,1.6635,0.60506,0.4103,0.42315,0.23876,1.65092,1.87987,1.56144,0.008746,0.008746,0.008746
21,12874.7,1.7582,2.08119,1.66399,0.554,0.412,0.42762,0.24196,1.65509,1.8757,1.56257,0.00868,0.00868,0.00868
22,13538.8,1.75079,2.06074,1.65266,0.60999,0.41987,0.43178,0.24572,1.64588,1.86329,1.55665,0.008614,0.008614,0.008614
23,14190.4,1.74142,2.05492,1.64774,0.5506,0.41644,0.4349,0.24731,1.63719,1.84087,1.54728,0.008548,0.008548,0.008548
24,14812.8,1.74077,2.04515,1.64924,0.55036,0.41986,0.43731,0.24792,1.6298,1.83152,1.54152,0.008482,0.008482,0.008482
25,15430.2,1.73353,2.01866,1.63492,0.62321,0.41717,0.44314,0.25469,1.62036,1.82655,1.53398,0.008416,0.008416,0.008416
26,16047.3,1.72704,2.01134,1.63171,0.62496,0.42328,0.4512,0.25799,1.61847,1.8202,1.53024,0.00835,0.00835,0.00835
27,16662.6,1.718,2.00074,1.62073,0.59117,0.43371,0.4535,0.26138,1.61528,1.81526,1.5296,0.008284,0.008284,0.008284
28,17279.9,1.71704,1.99197,1.6207,0.5525,0.43221,0.45458,0.26238,1.61336,1.80696,1.52738,0.008218,0.008218,0.008218
29,17895.6,1.71348,1.99485,1.61662,0.55706,0.43457,0.45456,0.26329,1.61184,1.7993,1.52423,0.008152,0.008152,0.008152
30,18511.9,1.70664,1.96712,1.61762,0.54442,0.44042,0.45597,0.26395,1.61005,1.79522,1.52169,0.008086,0.008086,0.008086
31,19124.9,1.69943,1.95855,1.60946,0.56151,0.43408,0.45765,0.26562,1.60788,1.78703,1.52043,0.00802,0.00802,0.00802
32,19735.1,1.70358,1.94338,1.61495,0.55161,0.44277,0.45929,0.26605,1.60543,1.78117,1.51919,0.007954,0.007954,0.007954
33,20341.6,1.69807,1.94514,1.60965,0.55736,0.4468,0.46126,0.26783,1.60356,1.77874,1.5186,0.007888,0.007888,0.007888
34,20978.8,1.6958,1.94157,1.61358,0.56213,0.44531,0.46281,0.26861,1.60019,1.77415,1.51683,0.007822,0.007822,0.007822
35,21541.2,1.68879,1.93475,1.59593,0.5603,0.44841,0.46591,0.27024,1.59991,1.77082,1.51571,0.007756,0.007756,0.007756
36,22085.6,1.68552,1.92213,1.59065,0.5643,0.44679,0.46709,0.27146,1.59843,1.76599,1.51355,0.00769,0.00769,0.00769
37,22629.4,1.68151,1.90498,1.59141,0.47524,0.44767,0.4701,0.27301,1.59812,1.76084,1.51301,0.007624,0.007624,0.007624
38,23171.5,1.68195,1.89867,1.59586,0.46912,0.4498,0.47259,0.27441,1.59683,1.75733,1.51211,0.007558,0.007558,0.007558
39,23712.3,1.67305,1.89574,1.58419,0.46502,0.45189,0.47436,0.27456,1.59624,1.75328,1.51126,0.007492,0.007492,0.007492
40,24253.1,1.68268,1.89274,1.58926,0.47237,0.45792,0.47673,0.27569,1.59554,1.75014,1.51032,0.007426,0.007426,0.007426
41,24794.6,1.67343,1.88567,1.58808,0.47323,0.45655,0.47766,0.27692,1.59448,1.74642,1.50928,0.00736,0.00736,0.00736
42,25335.3,1.66674,1.86842,1.57967,0.47125,0.46782,0.48047,0.27769,1.59378,1.74376,1.50836,0.007294,0.007294,0.007294
43,25877,1.67198,1.8686,1.58314,0.47408,0.46828,0.48077,0.27733,1.59351,1.7412,1.50767,0.007228,0.007228,0.007228
44,26417.8,1.66633,1.85836,1.57493,0.47796,0.46864,0.48235,0.27848,1.59253,1.74031,1.50689,0.007162,0.007162,0.007162
45,26959,1.65926,1.85651,1.57069,0.47337,0.46338,0.48341,0.27947,1.59142,1.73753,1.5062,0.007096,0.007096,0.007096
46,27502,1.65396,1.85219,1.57747,0.46582,0.46846,0.48282,0.28079,1.59014,1.73479,1.50519,0.00703,0.00703,0.00703
47,28043.4,1.65236,1.83684,1.56889,0.46626,0.47006,0.48486,0.28171,1.58934,1.73187,1.50431,0.006964,0.006964,0.006964
48,28584.7,1.65283,1.83586,1.5702,0.46319,0.4715,0.48589,0.28253,1.58838,1.72881,1.50342,0.006898,0.006898,0.006898
49,29126.1,1.64973,1.83037,1.56689,0.46602,0.47575,0.48662,0.28352,1.58731,1.72657,1.50244,0.006832,0.006832,0.006832
50,29666.6,1.64571,1.82041,1.56099,0.47242,0.47537,0.48736,0.28428,1.58656,1.72445,1.50207,0.006766,0.006766,0.006766
51,30208,1.64404,1.8133,1.56025,0.47683,0.47734,0.48925,0.28568,1.5857,1.72176,1.50116,0.0067,0.0067,0.0067
52,30749.2,1.6375,1.80704,1.55464,0.47941,0.47796,0.49159,0.2864,1.58498,1.71918,1.50049,0.006634,0.006634,0.006634
53,31289.1,1.64075,1.80178,1.55118,0.48583,0.4797,0.49247,0.28706,1.58406,1.71678,1.49965,0.006568,0.006568,0.006568
54,31829.7,1.63508,1.7997,1.5511,0.49761,0.48362,0.49374,0.2871,1.58318,1.71385,1.49883,0.006502,0.006502,0.006502
55,32370.9,1.63446,1.79616,1.55194,0.49724,0.48492,0.49559,0.2882,1.58238,1.71173,1.49823,0.006436,0.006436,0.006436
56,32912.9,1.62655,1.77898,1.54152,0.49663,0.48508,0.49636,0.28819,1.58138,1.71013,1.49726,0.00637,0.00637,0.00637
57,33453.6,1.63399,1.78333,1.55023,0.49683,0.4856,0.4956,0.28837,1.58092,1.70716,1.49608,0.006304,0.006304,0.006304
58,33995.4,1.62941,1.7759,1.54299,0.49859,0.48815,0.4967,0.28927,1.5802,1.70452,1.49545,0.006238,0.006238,0.006238
59,34536.6,1.62128,1.77357,1.5463,0.50286,0.48515,0.49706,0.28939,1.57913,1.70162,1.49468,0.006172,0.006172,0.006172
60,35077.9,1.62362,1.76853,1.54194,0.5098,0.48397,0.50362,0.29139,1.57881,1.69858,1.49413,0.006106,0.006106,0.006106
61,35619.3,1.62387,1.76466,1.53746,0.52915,0.47929,0.5046,0.2918,1.57795,1.69514,1.49305,0.00604,0.00604,0.00604
62,36160.7,1.61972,1.75965,1.54042,0.54711,0.47022,0.50608,0.29249,1.57704,1.69287,1.49209,0.005974,0.005974,0.005974
63,36699.9,1.6107,1.7407,1.52959,0.51882,0.48493,0.50661,0.29262,1.57695,1.68991,1.49187,0.005908,0.005908,0.005908
64,37241.3,1.61278,1.74128,1.53098,0.52577,0.48448,0.50781,0.29334,1.5762,1.68795,1.49132,0.005842,0.005842,0.005842
65,37783.3,1.61004,1.73945,1.531,0.53998,0.47978,0.50883,0.29508,1.57651,1.68551,1.49106,0.005776,0.005776,0.005776
66,38323.5,1.61426,1.7312,1.53332,0.54014,0.47986,0.50963,0.29622,1.5761,1.68269,1.49064,0.00571,0.00571,0.00571
67,38865.2,1.60431,1.72079,1.53012,0.51792,0.49016,0.50806,0.29668,1.57502,1.67937,1.48977,0.005644,0.005644,0.005644
68,39405.9,1.59854,1.71403,1.52165,0.518,0.49005,0.50895,0.29755,1.57429,1.67593,1.48871,0.005578,0.005578,0.005578
69,39947.1,1.5982,1.71152,1.52559,0.52106,0.49358,0.51113,0.29899,1.57352,1.67329,1.488,0.005512,0.005512,0.005512
70,40488.2,1.59735,1.69772,1.51973,0.5446,0.50032,0.51385,0.29995,1.5727,1.67111,1.48693,0.005446,0.005446,0.005446
71,41029.4,1.59818,1.70528,1.51552,0.54782,0.502,0.5142,0.30019,1.57204,1.66838,1.4864,0.00538,0.00538,0.00538
72,41570.3,1.58976,1.70383,1.51814,0.54466,0.50328,0.51537,0.30156,1.57133,1.66491,1.48518,0.005314,0.005314,0.005314
73,42111.9,1.58957,1.69365,1.51303,0.54416,0.50314,0.51605,0.30132,1.57034,1.66215,1.48413,0.005248,0.005248,0.005248
74,42653.1,1.58764,1.68623,1.51199,0.54728,0.50041,0.51691,0.30272,1.56993,1.6585,1.4837,0.005182,0.005182,0.005182
75,43194.6,1.58695,1.67227,1.51076,0.55151,0.49854,0.5186,0.30285,1.56961,1.65561,1.48314,0.005116,0.005116,0.005116
76,43735.7,1.5827,1.67018,1.50346,0.55691,0.49687,0.52042,0.3041,1.56922,1.65248,1.48243,0.00505,0.00505,0.00505
77,44276,1.57847,1.65836,1.50747,0.55139,0.49653,0.5215,0.30482,1.56893,1.64977,1.48181,0.004984,0.004984,0.004984
78,44817.1,1.58037,1.66698,1.50514,0.5515,0.49473,0.52254,0.30546,1.56871,1.64697,1.48138,0.004918,0.004918,0.004918
79,45358.5,1.57138,1.64348,1.49784,0.55744,0.49458,0.52506,0.30657,1.56839,1.64384,1.48096,0.004852,0.004852,0.004852
80,45900.1,1.57469,1.64581,1.49843,0.55734,0.49592,0.52882,0.30879,1.56747,1.6408,1.48,0.004786,0.004786,0.004786
81,46441.6,1.56829,1.64403,1.49431,0.56287,0.49576,0.52914,0.30961,1.56683,1.63843,1.47922,0.00472,0.00472,0.00472
82,46983.1,1.5703,1.64207,1.49126,0.55744,0.49801,0.53231,0.31054,1.56654,1.63527,1.47816,0.004654,0.004654,0.004654
83,47524.1,1.5597,1.62225,1.48727,0.56234,0.49638,0.53304,0.31089,1.56642,1.63189,1.47747,0.004588,0.004588,0.004588
